team,total_yards_allowed,TY Rank,rush_yards_allowed,RY Rank,receiving_yards_allowed,RecY Rank,points_allowed,PA Rank,plays
ARI,356.47,25.0,143.82,32.0,226.24,12.0,25.88,31.0,61.59
ATL,322.47,11.0,119.47,20.0,218.06,8.0,21.0,15.5,63.06
BAL,302.41,6.0,110.24,14.0,217.82,7.0,15.29,1.0,64.94
BUF,307.94,9.0,111.41,15.0,216.06,6.0,17.29,4.0,59.24
CAR,296.47,4.0,124.82,25.0,182.88,1.0,24.18,29.0,57.71
CHI,325.24,12.0,87.18,1.0,249.71,21.0,21.41,19.0,60.53
CIN,375.47,31.0,126.71,26.0,263.53,27.0,21.94,21.0,61.71
CLE,271.06,1.0,106.35,11.0,184.82,2.0,20.94,13.5,58.29
DAL,300.47,5.0,113.0,16.0,204.76,5.0,18.29,6.0,59.0
DEN,371.76,29.0,137.88,30.0,252.65,24.0,23.06,26.0,63.06
DET,336.59,19.0,89.12,2.0,268.35,29.0,22.76,23.0,60.65
GB,336.06,18.0,128.94,28.0,223.71,11.0,20.24,11.0,61.88
HOU,331.82,14.0,97.06,6.0,254.94,25.0,19.94,10.0,63.53
IND,350.35,24.0,124.35,23.0,244.53,16.5,23.47,27.0,66.06
JAX,344.18,22.0,104.24,10.0,256.18,26.0,21.24,17.0,62.41
KC,290.88,2.0,114.0,17.0,197.18,4.0,16.71,2.0,60.76
LA,339.59,20.0,107.94,12.0,246.76,20.0,21.82,20.0,62.53
LAC,364.12,28.0,114.35,18.0,269.41,31.0,22.35,22.0,64.35
LV,332.41,15.0,120.06,21.0,229.41,13.0,19.24,9.0,63.06
MIA,319.71,10.0,98.24,7.0,242.88,15.0,22.82,24.5,61.24
MIN,334.47,16.0,99.76,8.0,251.94,23.0,20.94,13.5,63.47
NE,303.88,7.0,94.88,4.0,223.0,10.0,21.35,18.0,62.76
NO,328.59,13.0,121.06,22.0,221.65,9.0,18.76,7.0,61.29
NYG,362.41,27.0,133.0,29.0,244.53,16.5,23.53,28.0,63.65
NYJ,293.24,3.0,124.71,24.0,187.18,3.0,20.59,12.0,63.12
PHI,356.88,26.0,103.82,9.0,267.71,28.0,24.65,30.0,64.76
PIT,343.35,21.0,115.59,19.0,244.94,18.0,17.94,5.0,62.65
SEA,372.12,30.0,139.0,31.0,250.41,22.0,22.82,24.5,66.76
SF,304.53,8.0,90.18,3.0,232.29,14.0,17.12,3.0,60.82
TB,345.18,23.0,95.29,5.0,268.71,30.0,18.94,8.0,63.29
TEN,336.0,17.0,108.47,13.0,245.94,19.0,21.0,15.5,64.06
WAS,389.94,32.0,127.41,27.0,272.18,32.0,28.53,32.0,65.24
